rollout,activity,start_month,end_month,start,end
RO-01,"Nominal release, TSSR surveys, site acquisition & permits",1,1,Jan 2027,Jan 2027
RO-01,"Detailed RF / transport design freeze, material call-off",1,1,Jan 2027,Jan 2027
RO-01,"Civil works, power, fiber build to hubs and rings",1,3,Jan 2027,Mar 2027
RO-01,Hub / DU-hotel and router commissioning,2,4,Feb 2027,Apr 2027
RO-01,"Radio install, commissioning, integration to 5GC",3,6,Mar 2027,Jun 2027
RO-01,Single-site verification (SSV),4,6,Apr 2027,Jun 2027
RO-01,Cluster optimisation & acceptance (1 Gbps drive test),5,8,May 2027,Aug 2027
RO-01,Commercial launch of rollout area / hand-over to operations,7,8,Jul 2027,Aug 2027
RO-02,"Nominal release, TSSR surveys, site acquisition & permits",1,4,Jan 2027,Apr 2027
RO-02,"Detailed RF / transport design freeze, material call-off",2,4,Feb 2027,Apr 2027
RO-02,"Civil works, power, fiber build to hubs and rings",3,6,Mar 2027,Jun 2027
RO-02,Hub / DU-hotel and router commissioning,5,7,May 2027,Jul 2027
RO-02,"Radio install, commissioning, integration to 5GC",6,9,Jun 2027,Sep 2027
RO-02,Single-site verification (SSV),7,9,Jul 2027,Sep 2027
RO-02,Cluster optimisation & acceptance (1 Gbps drive test),8,11,Aug 2027,Nov 2027
RO-02,Commercial launch of rollout area / hand-over to operations,10,11,Oct 2027,Nov 2027
RO-03,"Nominal release, TSSR surveys, site acquisition & permits",4,7,Apr 2027,Jul 2027
RO-03,"Detailed RF / transport design freeze, material call-off",5,7,May 2027,Jul 2027
RO-03,"Civil works, power, fiber build to hubs and rings",6,9,Jun 2027,Sep 2027
RO-03,Hub / DU-hotel and router commissioning,8,10,Aug 2027,Oct 2027
RO-03,"Radio install, commissioning, integration to 5GC",9,12,Sep 2027,Dec 2027
RO-03,Single-site verification (SSV),10,12,Oct 2027,Dec 2027
RO-03,Cluster optimisation & acceptance (1 Gbps drive test),11,14,Nov 2027,Feb 2028
RO-03,Commercial launch of rollout area / hand-over to operations,13,14,Jan 2028,Feb 2028
RO-04,"Nominal release, TSSR surveys, site acquisition & permits",7,10,Jul 2027,Oct 2027
RO-04,"Detailed RF / transport design freeze, material call-off",8,10,Aug 2027,Oct 2027
RO-04,"Civil works, power, fiber build to hubs and rings",9,12,Sep 2027,Dec 2027
RO-04,Hub / DU-hotel and router commissioning,11,13,Nov 2027,Jan 2028
RO-04,"Radio install, commissioning, integration to 5GC",12,15,Dec 2027,Mar 2028
RO-04,Single-site verification (SSV),13,15,Jan 2028,Mar 2028
RO-04,Cluster optimisation & acceptance (1 Gbps drive test),14,17,Feb 2028,May 2028
RO-04,Commercial launch of rollout area / hand-over to operations,16,17,Apr 2028,May 2028
